mark,model,pokolenie,car_type,год выпуска,Цена,Пробег,Цвет,"Выбросы CO2, г/км",Высота,"Диаметр цилиндра и ход поршня, мм",Длина,Задние тормоза,Класс автомобиля,Клиренс,Количество дверей,Количество мест,Количество передач,Количество цилиндров,Колёсная база,Коробка,Коробка передач,"Максимальная мощность, л.с./кВт при об/мин","Максимальная скорость, км/ч","Максимальный крутящий момент, Н*м при об/мин",Марка топлива,Мощность,Объем,"Объем багажника мин/макс, л","Объем двигателя, см³","Объём топливного бака, л",Передние тормоза,"Полная масса, кг",Привод,Разгон,"Разгон до 100 км/ч, с",Размер колёс,Расположение двигателя,Расположение цилиндров,Расход,"Расход топлива, л город/трасса/смешанный",Система питания двигателя,"Снаряженная масса, кг",Степень сжатия,Страна марки,Тип двигателя,Тип задней подвески,Тип наддува,Тип передней подвески,Тип привода,Топливо,Число клапанов на цилиндр,Ширина,Ширина задней колеи,Ширина передней колеи,Экологический класс,Оценка безопасности,Название рейтинга
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,90 000 ₽,390000,серебристый,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1988,50 000 ₽,440000,красный,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1992,80 000 ₽,498495,белый,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,129 000 ₽,402000,чёрный,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1989,90 000 ₽,350000,серебристый,nan,1428,81 × 86.4,4573,дисковые,D,150,4,5,5,4,2623,механика,механика,107 / 79 при 5400,190,154 при 3800,АИ-95,107 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,11.7 с,11.7,165/70/R14,"переднее, продольное",рядное,7.7 л,10.7/5.7/7.7,распределенный впрыск (многоточечный),1155,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,75 000 ₽,156000,красный,nan,1428,82.5 × 92.8,4573,дисковые,D,150,4,5,5,4,2623,механика,механика,115 / 85 при 5400,195,166 при 3200,АИ-95,115 л.с.,2.0 л,495,1984,70,дисковые,1730,передний,11.3 с,11.3,165/70/R14,"переднее, продольное",рядное,8.2 л,12.6/6.4/8.2,распределенный впрыск (многоточечный),1169,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1992,90 000 ₽,452000,синий,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1993,140 000 ₽,340000,белый,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1992,140 000 ₽,150000,зелёный,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,75 / 55 при 5000,171,140 при 2500,АИ-95,75 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,15.5 с,15.5,165/70/R14,"переднее, продольное",рядное,8 л,11/6/8,центральный впрыск (моновпрыск или одноточечный),1113,9,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,55 555 ₽,555555,пурпурный,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,70 000 ₽,175000,синий,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,90 000 ₽,1000000,зелёный,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1990,65 000 ₽,415000,красный,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,110 000 ₽,450000,серебристый,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1988,50 000 ₽,440000,красный,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,90 000 ₽,390000,серебристый,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1992,80 000 ₽,498495,белый,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,129 000 ₽,402000,чёрный,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1989,90 000 ₽,350000,серебристый,nan,1428,81 × 86.4,4573,дисковые,D,150,4,5,5,4,2623,механика,механика,107 / 79 при 5400,190,154 при 3800,АИ-95,107 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,11.7 с,11.7,165/70/R14,"переднее, продольное",рядное,7.7 л,10.7/5.7/7.7,распределенный впрыск (многоточечный),1155,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,75 000 ₽,156000,красный,nan,1428,82.5 × 92.8,4573,дисковые,D,150,4,5,5,4,2623,механика,механика,115 / 85 при 5400,195,166 при 3200,АИ-95,115 л.с.,2.0 л,495,1984,70,дисковые,1730,передний,11.3 с,11.3,165/70/R14,"переднее, продольное",рядное,8.2 л,12.6/6.4/8.2,распределенный впрыск (многоточечный),1169,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1992,90 000 ₽,452000,синий,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1993,140 000 ₽,340000,белый,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1992,140 000 ₽,150000,зелёный,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,75 / 55 при 5000,171,140 при 2500,АИ-95,75 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,15.5 с,15.5,165/70/R14,"переднее, продольное",рядное,8 л,11/6/8,центральный впрыск (моновпрыск или одноточечный),1113,9,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,55 555 ₽,555555,пурпурный,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,70 000 ₽,175000,синий,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
Volkswagen ,Passat ,B3 1988 – 1997 ,Седан ,1991,90 000 ₽,1000000,зелёный,nan,1428,81 × 86.4,4573,барабанные,D,150,4,5,5,4,2623,механика,механика,90 / 66 при 5400,177,142 при 2600,АИ-95,90 л.с.,1.8 л,495,1781,70,дисковые,1700,передний,13.7 с,13.7,165/70/R14,"переднее, продольное",рядное,7.9 л,10.9/5.9/7.9,центральный впрыск (моновпрыск или одноточечный),1148,10,Германия,бензин,"независимая, пружинная",нет,"независимая, пружинная",передний,АИ-95,2,1704,1422,1479,nan,nan,nan
